Image Quality Evaluation Summary
============================================================
Input directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/single_highlight
Label directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/original

Total images: 264
Mean SNR: 8.9409 dB
Std SNR: 4.7751 dB
Min SNR: 1.5072 dB
Max SNR: 22.9296 dB
------------------------------------------------------------
Mean PSNR: -33.3684 dB
Std PSNR: 3.3834 dB
Min PSNR: -38.4458 dB
Max PSNR: -21.5293 dB
------------------------------------------------------------
Mean SSIM: 0.0549
Std SSIM: 0.0498
Min SSIM: -0.0001
Max SSIM: 0.2537
------------------------------------------------------------
Individual Results:
18_p3: SNR=9.6129 dB, PSNR=-34.0046 dB, SSIM=0.1831
18_p4: SNR=8.5943 dB, PSNR=-32.6149 dB, SSIM=0.0080
19_p1: SNR=11.3659 dB, PSNR=-32.7177 dB, SSIM=0.0229
19_p2: SNR=12.7313 dB, PSNR=-31.6068 dB, SSIM=0.0277
19_p3: SNR=12.3671 dB, PSNR=-31.8107 dB, SSIM=0.0537
19_p4: SNR=12.9982 dB, PSNR=-31.7232 dB, SSIM=0.0804
20_p1: SNR=10.4714 dB, PSNR=-33.6066 dB, SSIM=0.0124
20_p2: SNR=11.7523 dB, PSNR=-32.1312 dB, SSIM=0.0208
20_p3: SNR=6.6984 dB, PSNR=-36.9179 dB, SSIM=0.0402
20_p4: SNR=6.0873 dB, PSNR=-37.7017 dB, SSIM=0.0920
21_p1: SNR=8.3647 dB, PSNR=-34.2424 dB, SSIM=0.0985
21_p2: SNR=11.5797 dB, PSNR=-33.3804 dB, SSIM=0.2282
21_p3: SNR=7.6347 dB, PSNR=-35.7369 dB, SSIM=0.1197
21_p4: SNR=5.7534 dB, PSNR=-37.0082 dB, SSIM=0.0624
22_p1: SNR=14.7190 dB, PSNR=-30.7948 dB, SSIM=0.0324
22_p2: SNR=7.4783 dB, PSNR=-35.0895 dB, SSIM=0.0717
22_p3: SNR=5.0179 dB, PSNR=-36.5370 dB, SSIM=0.0207
22_p4: SNR=4.8995 dB, PSNR=-37.8204 dB, SSIM=0.0834
23_p1: SNR=12.6079 dB, PSNR=-31.8258 dB, SSIM=0.0050
23_p2: SNR=9.9286 dB, PSNR=-33.2423 dB, SSIM=0.0222
23_p3: SNR=7.6120 dB, PSNR=-35.2510 dB, SSIM=0.0762
23_p4: SNR=6.6589 dB, PSNR=-34.7577 dB, SSIM=0.0232
24_p1: SNR=19.5566 dB, PSNR=-25.2837 dB, SSIM=0.0179
24_p2: SNR=14.9460 dB, PSNR=-27.8935 dB, SSIM=0.0285
24_p3: SNR=5.4521 dB, PSNR=-32.4498 dB, SSIM=0.0186
24_p4: SNR=6.1510 dB, PSNR=-33.8175 dB, SSIM=0.0225
25_p1: SNR=10.5581 dB, PSNR=-32.0420 dB, SSIM=0.0723
25_p2: SNR=7.8062 dB, PSNR=-33.7424 dB, SSIM=0.0244
25_p3: SNR=5.9183 dB, PSNR=-36.3455 dB, SSIM=0.0499
25_p4: SNR=5.7650 dB, PSNR=-37.2285 dB, SSIM=0.2109
26_p1: SNR=15.0926 dB, PSNR=-29.7444 dB, SSIM=0.0673
26_p2: SNR=10.1564 dB, PSNR=-32.1321 dB, SSIM=0.0316
26_p3: SNR=5.7705 dB, PSNR=-37.5665 dB, SSIM=0.0610
26_p4: SNR=5.8873 dB, PSNR=-37.0413 dB, SSIM=0.0661
27_p1: SNR=11.6262 dB, PSNR=-31.3488 dB, SSIM=0.0223
27_p2: SNR=10.1071 dB, PSNR=-32.5317 dB, SSIM=0.0328
27_p3: SNR=6.5423 dB, PSNR=-34.3443 dB, SSIM=0.0561
27_p4: SNR=4.3632 dB, PSNR=-36.7897 dB, SSIM=0.0715
28_p1: SNR=13.8780 dB, PSNR=-31.0573 dB, SSIM=0.0594
28_p2: SNR=4.0798 dB, PSNR=-38.3684 dB, SSIM=0.0315
28_p3: SNR=4.1096 dB, PSNR=-36.7453 dB, SSIM=0.0493
28_p4: SNR=4.1754 dB, PSNR=-38.0457 dB, SSIM=0.0351
29_p1: SNR=10.3173 dB, PSNR=-33.1837 dB, SSIM=0.0053
29_p2: SNR=17.8690 dB, PSNR=-28.0184 dB, SSIM=0.0657
29_p3: SNR=5.7721 dB, PSNR=-36.1183 dB, SSIM=0.0425
29_p4: SNR=7.3349 dB, PSNR=-34.3181 dB, SSIM=0.0775
30_p1: SNR=14.9300 dB, PSNR=-30.2831 dB, SSIM=0.0269
30_p2: SNR=16.9117 dB, PSNR=-29.2546 dB, SSIM=0.0265
30_p3: SNR=6.1615 dB, PSNR=-34.6841 dB, SSIM=0.0526
30_p4: SNR=5.3050 dB, PSNR=-37.0715 dB, SSIM=0.1009
31_p1: SNR=16.9712 dB, PSNR=-27.5071 dB, SSIM=0.0452
31_p2: SNR=14.0676 dB, PSNR=-29.7953 dB, SSIM=0.0019
31_p3: SNR=4.9468 dB, PSNR=-35.4202 dB, SSIM=0.0077
31_p4: SNR=4.7270 dB, PSNR=-36.6779 dB, SSIM=0.0093
32_p1: SNR=18.6819 dB, PSNR=-27.6895 dB, SSIM=0.0268
32_p2: SNR=5.4450 dB, PSNR=-37.3827 dB, SSIM=0.0236
32_p3: SNR=7.8284 dB, PSNR=-33.1489 dB, SSIM=0.0314
32_p4: SNR=8.7397 dB, PSNR=-32.0457 dB, SSIM=0.0487
33_p1: SNR=15.4835 dB, PSNR=-28.9391 dB, SSIM=0.0029
33_p2: SNR=16.1511 dB, PSNR=-28.5700 dB, SSIM=0.0036
33_p3: SNR=6.4817 dB, PSNR=-34.3190 dB, SSIM=0.0079
33_p4: SNR=5.4679 dB, PSNR=-37.8824 dB, SSIM=0.0206
34_p1: SNR=20.6856 dB, PSNR=-26.1505 dB, SSIM=0.0159
34_p2: SNR=20.3255 dB, PSNR=-26.5472 dB, SSIM=0.0185
34_p3: SNR=8.5724 dB, PSNR=-33.3377 dB, SSIM=0.0648
34_p4: SNR=7.0602 dB, PSNR=-36.7492 dB, SSIM=0.1145
35_p1: SNR=6.5189 dB, PSNR=-35.4258 dB, SSIM=0.0036
35_p2: SNR=16.9083 dB, PSNR=-28.6460 dB, SSIM=0.0252
35_p3: SNR=6.2192 dB, PSNR=-37.3090 dB, SSIM=0.0261
35_p4: SNR=8.5873 dB, PSNR=-32.4394 dB, SSIM=0.0334
36_p1: SNR=11.9238 dB, PSNR=-32.4766 dB, SSIM=0.0327
36_p2: SNR=13.9081 dB, PSNR=-30.5572 dB, SSIM=0.0794
36_p3: SNR=2.1375 dB, PSNR=-35.6740 dB, SSIM=0.0108
36_p4: SNR=3.2114 dB, PSNR=-37.1462 dB, SSIM=0.0137
37_p1: SNR=3.0414 dB, PSNR=-36.4688 dB, SSIM=0.0366
37_p2: SNR=3.7634 dB, PSNR=-36.3318 dB, SSIM=0.0748
37_p3: SNR=4.6905 dB, PSNR=-36.7534 dB, SSIM=0.0828
37_p4: SNR=7.2323 dB, PSNR=-33.6736 dB, SSIM=0.1717
38_p1: SNR=3.1185 dB, PSNR=-35.8555 dB, SSIM=0.0506
38_p2: SNR=3.8174 dB, PSNR=-36.7100 dB, SSIM=0.0485
38_p3: SNR=5.4140 dB, PSNR=-36.4978 dB, SSIM=0.0540
38_p4: SNR=4.8768 dB, PSNR=-36.1636 dB, SSIM=0.0628
39_p1: SNR=4.3092 dB, PSNR=-35.3216 dB, SSIM=0.0368
39_p2: SNR=4.7020 dB, PSNR=-36.5426 dB, SSIM=0.0458
39_p3: SNR=3.7431 dB, PSNR=-37.2316 dB, SSIM=0.0347
39_p4: SNR=5.1861 dB, PSNR=-35.7221 dB, SSIM=0.0458
40_p1: SNR=8.4969 dB, PSNR=-32.4302 dB, SSIM=0.0491
40_p2: SNR=5.3356 dB, PSNR=-34.6644 dB, SSIM=0.0256
40_p3: SNR=7.9060 dB, PSNR=-34.3980 dB, SSIM=0.1854
40_p4: SNR=5.6859 dB, PSNR=-32.6652 dB, SSIM=0.0212
41_p1: SNR=2.9401 dB, PSNR=-37.0711 dB, SSIM=0.0237
41_p2: SNR=2.3610 dB, PSNR=-35.5644 dB, SSIM=0.0247
41_p3: SNR=5.2578 dB, PSNR=-35.6514 dB, SSIM=0.0353
41_p4: SNR=4.9733 dB, PSNR=-36.5665 dB, SSIM=0.0677
42_p1: SNR=1.9496 dB, PSNR=-37.3120 dB, SSIM=0.0100
42_p2: SNR=2.9187 dB, PSNR=-33.6392 dB, SSIM=0.0131
42_p3: SNR=6.8256 dB, PSNR=-35.1116 dB, SSIM=0.0798
42_p4: SNR=7.1980 dB, PSNR=-34.4797 dB, SSIM=0.0890
43_p1: SNR=1.7324 dB, PSNR=-35.1335 dB, SSIM=0.0110
43_p2: SNR=1.6093 dB, PSNR=-35.7762 dB, SSIM=0.0098
43_p3: SNR=2.9464 dB, PSNR=-37.5705 dB, SSIM=0.0462
43_p4: SNR=3.7991 dB, PSNR=-36.8173 dB, SSIM=0.0631
44_p1: SNR=1.6097 dB, PSNR=-35.8047 dB, SSIM=0.0061
44_p2: SNR=1.5072 dB, PSNR=-37.5794 dB, SSIM=0.0116
44_p3: SNR=7.3539 dB, PSNR=-34.7460 dB, SSIM=0.1448
44_p4: SNR=2.1455 dB, PSNR=-36.8160 dB, SSIM=0.0202
45_p1: SNR=6.1510 dB, PSNR=-33.9278 dB, SSIM=0.0797
45_p2: SNR=5.7653 dB, PSNR=-33.8765 dB, SSIM=0.0709
45_p3: SNR=6.0199 dB, PSNR=-33.8505 dB, SSIM=0.1805
45_p4: SNR=4.2781 dB, PSNR=-35.9980 dB, SSIM=0.0291
46_p1: SNR=4.2753 dB, PSNR=-34.1339 dB, SSIM=0.0300
46_p2: SNR=3.8577 dB, PSNR=-36.0814 dB, SSIM=0.0257
46_p3: SNR=3.5610 dB, PSNR=-37.4262 dB, SSIM=0.0258
46_p4: SNR=4.7905 dB, PSNR=-36.4869 dB, SSIM=0.0305
47_p1: SNR=4.1398 dB, PSNR=-36.7304 dB, SSIM=0.0223
