Image Quality Evaluation Summary
============================================================

Input directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/deblurring/25
Label directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/original

Total images: 264
Mean SNR: 9.4430 dB
Std SNR: 4.8096 dB
Min SNR: 1.7839 dB
Max SNR: 23.9295 dB

------------------------------------------------------------Mean PSNR: -32.8038 dB
Std PSNR: 3.5465 dB
Min PSNR: -38.4476 dB
Max PSNR: -20.5682 dB

------------------------------------------------------------Mean SSIM: 0.0751
Std SSIM: 0.0632
Min SSIM: 0.0001
Max SSIM: 0.2763

------------------------------------------------------------Individual Results:
------------------------------------------------------------
18_p2: SNR=21.0220 dB, PSNR=-24.1667 dB, SSIM=0.0172
18_p3: SNR=9.6689 dB, PSNR=-33.9496 dB, SSIM=0.1742
18_p4: SNR=9.9750 dB, PSNR=-31.1941 dB, SSIM=0.0115
19_p1: SNR=11.5345 dB, PSNR=-32.5632 dB, SSIM=0.0624
19_p2: SNR=12.9392 dB, PSNR=-31.3915 dB, SSIM=0.0450
19_p3: SNR=12.6791 dB, PSNR=-31.4936 dB, SSIM=0.0550
19_p4: SNR=13.0234 dB, PSNR=-31.7064 dB, SSIM=0.0724
20_p1: SNR=10.5680 dB, PSNR=-33.5609 dB, SSIM=0.0139
20_p2: SNR=11.7381 dB, PSNR=-32.1780 dB, SSIM=0.0379
20_p3: SNR=6.8052 dB, PSNR=-36.7978 dB, SSIM=0.0676
20_p4: SNR=6.0936 dB, PSNR=-37.7043 dB, SSIM=0.1311
21_p1: SNR=8.9117 dB, PSNR=-33.7107 dB, SSIM=0.1275
21_p2: SNR=11.5857 dB, PSNR=-33.3937 dB, SSIM=0.2426
21_p3: SNR=7.6648 dB, PSNR=-35.8019 dB, SSIM=0.1391
21_p4: SNR=5.8847 dB, PSNR=-36.9178 dB, SSIM=0.1159
22_p1: SNR=14.9039 dB, PSNR=-30.6105 dB, SSIM=0.0331
22_p2: SNR=7.7084 dB, PSNR=-34.8798 dB, SSIM=0.0777
22_p3: SNR=5.3526 dB, PSNR=-36.1645 dB, SSIM=0.0257
22_p4: SNR=4.9112 dB, PSNR=-37.8657 dB, SSIM=0.0929
23_p1: SNR=13.0008 dB, PSNR=-31.4144 dB, SSIM=0.0058
23_p2: SNR=10.7227 dB, PSNR=-32.4802 dB, SSIM=0.0215
23_p3: SNR=7.8249 dB, PSNR=-35.0482 dB, SSIM=0.1035
23_p4: SNR=7.6538 dB, PSNR=-33.6852 dB, SSIM=0.0264
24_p1: SNR=19.9920 dB, PSNR=-24.8333 dB, SSIM=0.0237
24_p2: SNR=16.1758 dB, PSNR=-26.6390 dB, SSIM=0.0359
24_p3: SNR=7.8455 dB, PSNR=-29.3548 dB, SSIM=0.0242
24_p4: SNR=7.3874 dB, PSNR=-32.3478 dB, SSIM=0.0256
25_p1: SNR=11.5406 dB, PSNR=-30.9971 dB, SSIM=0.0955
25_p2: SNR=9.0058 dB, PSNR=-32.4950 dB, SSIM=0.0268
25_p3: SNR=6.1261 dB, PSNR=-36.1523 dB, SSIM=0.0600
25_p4: SNR=5.6880 dB, PSNR=-37.4949 dB, SSIM=0.2238
26_p1: SNR=15.4034 dB, PSNR=-29.4335 dB, SSIM=0.0918
26_p2: SNR=11.0716 dB, PSNR=-31.1571 dB, SSIM=0.0454
26_p3: SNR=5.8007 dB, PSNR=-37.5518 dB, SSIM=0.0718
26_p4: SNR=5.9742 dB, PSNR=-37.0163 dB, SSIM=0.0929
27_p1: SNR=12.3983 dB, PSNR=-30.5738 dB, SSIM=0.0253
27_p2: SNR=11.0656 dB, PSNR=-31.5547 dB, SSIM=0.0418
27_p3: SNR=7.4308 dB, PSNR=-33.3096 dB, SSIM=0.0897
27_p4: SNR=4.6155 dB, PSNR=-36.5288 dB, SSIM=0.0912
28_p1: SNR=14.4878 dB, PSNR=-30.4169 dB, SSIM=0.1116
28_p2: SNR=4.1936 dB, PSNR=-38.2470 dB, SSIM=0.0911
28_p3: SNR=4.3348 dB, PSNR=-36.4862 dB, SSIM=0.0730
28_p4: SNR=4.3256 dB, PSNR=-37.9398 dB, SSIM=0.0484
29_p1: SNR=10.8779 dB, PSNR=-32.6210 dB, SSIM=0.0067
29_p2: SNR=17.9361 dB, PSNR=-27.9517 dB, SSIM=0.2066
