filename,input_file,label_file,SNR,PSNR,SSIM
1_p1,1_p1.jpg,1_p1.jpg,6.270676404279589,-37.36803210276576,0.0022359453905604534
1_p2,1_p2.jpg,1_p2.jpg,7.642334547965853,-36.09617412800985,0.0037226673774378403
1_p3,1_p3.jpg,1_p3.jpg,6.514384003113232,-36.90936584451504,0.061909893067641074
1_p4,1_p4.jpg,1_p4.jpg,8.028174938998978,-35.43448986998935,0.08496697934255833
2_p1,2_p1.jpg,2_p1.jpg,7.940467410741775,-35.682234576696914,0.03762345990862076
2_p2,2_p2.jpg,2_p2.jpg,6.587956626264573,-36.98850693880098,0.01183211138592176
2_p3,2_p3.jpg,2_p3.jpg,10.354458883335502,-32.98301299823023,0.29708263694939613
2_p4,2_p4.jpg,2_p4.jpg,3.1909783407233654,-40.219345750611225,0.024807186630154358
3_p1,3_p1.jpg,3_p1.jpg,6.323900428798932,-37.30124619357395,0.0055458828580469
3_p2,3_p2.jpg,3_p2.jpg,6.427871680984105,-37.192860705385286,0.0027563516621519
3_p3,3_p3.jpg,3_p3.jpg,6.017644752865182,-37.335499936770155,0.06772799840371185
3_p4,3_p4.jpg,3_p4.jpg,5.314415655193988,-38.191502083827956,0.12462758146225449
4_p1,4_p1.jpg,4_p1.jpg,9.17588928332741,-34.480741371927735,0.02042065204464824
4_p2,4_p2.jpg,4_p2.jpg,7.501552265637042,-36.12103239547844,0.015780612607799154
4_p3,4_p3.jpg,4_p3.jpg,7.605887667215427,-35.708514881267384,0.0768818114710751
4_p4,4_p4.jpg,4_p4.jpg,9.31051569878295,-33.950711473257584,0.2704874637856794
5_p1,5_p1.jpg,5_p1.jpg,6.529091817173541,-37.13534288407188,0.0017409962936962868
5_p2,5_p2.jpg,5_p2.jpg,6.318906590734872,-37.29735032449539,0.0005988763614228498
5_p3,5_p3.jpg,5_p3.jpg,6.449723428105139,-37.00564297567187,0.0374476710274981
5_p4,5_p4.jpg,5_p4.jpg,5.593406178493499,-37.826952109058674,0.041721991099504675
6_p1,6_p1.jpg,6_p1.jpg,6.638402589062663,-36.9247848989104,0.032455344837430594
6_p2,6_p2.jpg,6_p2.jpg,7.570147604560965,-35.77529485018716,0.17149391797072802
6_p3,6_p3.jpg,6_p3.jpg,7.346923966594022,-35.9187926637189,0.08831962319128737
6_p4,6_p4.jpg,6_p4.jpg,5.995667824729686,-37.37875543197695,0.053838539212256065
7_p1,7_p1.jpg,7_p1.jpg,10.423407646141701,-33.22225686655805,0.04889915714715463
7_p2,7_p2.jpg,7_p2.jpg,13.001483192952833,-30.698344774624676,0.152837464617769
7_p3,7_p3.jpg,7_p3.jpg,7.783702293405033,-35.567257018475125,0.055933434122102554
7_p4,7_p4.jpg,7_p4.jpg,13.946221826982148,-29.369404667855434,0.306816858921584
8_p1,8_p1.jpg,8_p1.jpg,5.552313762998679,-38.087220132800326,0.011619909001907616
8_p2,8_p2.jpg,8_p2.jpg,4.740302879826743,-38.78657042175287,0.006245970376264205
8_p3,8_p3.jpg,8_p3.jpg,2.9874528544931582,-40.44159157618495,0.03248096971372636
8_p4,8_p4.jpg,8_p4.jpg,6.788670727148137,-36.588623568768355,0.25695599117193174
9_p1,9_p1.jpg,9_p1.jpg,4.412426519007832,-38.99707913149965,0.005463957642286687
9_p2,9_p2.jpg,9_p2.jpg,5.305678922516824,-38.168822015641524,0.01334948252699158
9_p3,9_p3.jpg,9_p3.jpg,6.366816586878655,-36.99994723346147,0.17406833015292558
9_p4,9_p4.jpg,9_p4.jpg,4.594925500457732,-38.88882064130918,0.03003995360494753
10_p1,10_p1.jpg,10_p1.jpg,5.044955408302181,-38.37277462625895,0.003448208738798061
10_p2,10_p2.jpg,10_p2.jpg,6.063280735732191,-37.382842396745104,0.0030621337618081247
10_p3,10_p3.jpg,10_p3.jpg,4.96435206861533,-38.41832364644405,0.03050537243348489
10_p4,10_p4.jpg,10_p4.jpg,4.622400866258713,-38.79588552304469,0.034278675657880654
11_p1,11_p1.jpg,11_p1.jpg,5.40584622147056,-38.208756828627955,0.01601572865169684
11_p2,11_p2.jpg,11_p2.jpg,5.206685858929262,-38.26530948737243,0.009313769851138213
11_p3,11_p3.jpg,11_p3.jpg,7.864990377745756,-35.63857267070871,0.10263055997338094
11_p4,11_p4.jpg,11_p4.jpg,4.740249207881767,-38.602230013206416,0.07167387651727683
12_p1,12_p1.jpg,12_p1.jpg,7.3446064791197285,-36.20096489285926,0.005713421296288639
12_p2,12_p2.jpg,12_p2.jpg,6.755526520813056,-36.805049937292914,0.007440111663158794
12_p3,12_p3.jpg,12_p3.jpg,6.01999923507049,-37.40137396358853,0.04634392912262
12_p4,12_p4.jpg,12_p4.jpg,6.198143576766022,-37.28490842297052,0.04750665610565327
