Image Quality Evaluation Summary
============================================================
Input directory: dataset/RichardsonLucy-result
Label directory: dataset/original

Total images: 264
Mean SNR: 18.4770 dB
Std SNR: 7.3276 dB
Min SNR: 7.5662 dB
Max SNR: 38.4307 dB
------------------------------------------------------------
Mean PSNR: -21.6790 dB
Std PSNR: 5.1496 dB
Min PSNR: -30.2220 dB
Max PSNR: -5.9830 dB
------------------------------------------------------------
Mean SSIM: 0.5248
Std SSIM: 0.1143
Min SSIM: 0.2986
Max SSIM: 0.7329
------------------------------------------------------------
Individual Results:
18_p4: SNR=21.5775 dB, PSNR=-19.5771 dB, SSIM=0.6195
19_p1: SNR=27.5895 dB, PSNR=-18.4341 dB, SSIM=0.4695
19_p2: SNR=25.7810 dB, PSNR=-20.1325 dB, SSIM=0.4843
19_p3: SNR=17.0027 dB, PSNR=-26.4151 dB, SSIM=0.6625
19_p4: SNR=16.5889 dB, PSNR=-27.1696 dB, SSIM=0.6404
20_p1: SNR=27.6520 dB, PSNR=-13.7210 dB, SSIM=0.5300
20_p2: SNR=28.3330 dB, PSNR=-13.0745 dB, SSIM=0.5566
20_p3: SNR=20.8144 dB, PSNR=-17.9250 dB, SSIM=0.5781
20_p4: SNR=20.9996 dB, PSNR=-17.1793 dB, SSIM=0.6080
21_p1: SNR=16.6046 dB, PSNR=-26.4572 dB, SSIM=0.5570
21_p2: SNR=18.0088 dB, PSNR=-27.2690 dB, SSIM=0.5155
21_p3: SNR=12.3723 dB, PSNR=-28.4601 dB, SSIM=0.7267
21_p4: SNR=11.1201 dB, PSNR=-27.4713 dB, SSIM=0.7053
22_p1: SNR=25.2431 dB, PSNR=-20.4803 dB, SSIM=0.3320
22_p2: SNR=15.2964 dB, PSNR=-24.9019 dB, SSIM=0.6450
22_p3: SNR=15.5301 dB, PSNR=-23.1092 dB, SSIM=0.5566
22_p4: SNR=14.7766 dB, PSNR=-21.5124 dB, SSIM=0.6312
23_p1: SNR=30.1181 dB, PSNR=-15.8574 dB, SSIM=0.3235
23_p2: SNR=22.1360 dB, PSNR=-22.2088 dB, SSIM=0.4222
23_p3: SNR=16.5088 dB, PSNR=-24.6218 dB, SSIM=0.5410
23_p4: SNR=20.3567 dB, PSNR=-22.5232 dB, SSIM=0.4763
24_p1: SNR=25.5250 dB, PSNR=-18.8162 dB, SSIM=0.3047
24_p2: SNR=24.1675 dB, PSNR=-19.5651 dB, SSIM=0.3379
24_p3: SNR=11.7841 dB, PSNR=-24.6277 dB, SSIM=0.6304
24_p4: SNR=15.3157 dB, PSNR=-22.6281 dB, SSIM=0.5824
25_p1: SNR=16.9176 dB, PSNR=-25.0926 dB, SSIM=0.5012
25_p2: SNR=16.6212 dB, PSNR=-26.3951 dB, SSIM=0.5417
25_p3: SNR=10.5898 dB, PSNR=-28.4757 dB, SSIM=0.6602
25_p4: SNR=10.4546 dB, PSNR=-28.3845 dB, SSIM=0.6730
26_p1: SNR=21.5333 dB, PSNR=-22.5621 dB, SSIM=0.3739
26_p2: SNR=21.2663 dB, PSNR=-22.8234 dB, SSIM=0.3769
