filename,input_file,label_file,SNR,PSNR,SSIM
1_p1,1_p1.jpg,1_p1.jpg,3.0215860902444938,-41.13149988044213,0.0033672839853963687
1_p2,1_p2.jpg,1_p2.jpg,15.817391563052212,-28.59441785215239,0.013522099121379859
1_p3,1_p3.jpg,1_p3.jpg,5.778819960517869,-34.23313204684926,0.05841497753732854
1_p4,1_p4.jpg,1_p4.jpg,11.126078211167918,-29.545986349594642,0.12341336060269752
2_p1,2_p1.jpg,2_p1.jpg,6.4307554567732925,-38.187249737258846,0.06008476319566591
2_p2,2_p2.jpg,2_p2.jpg,4.716119836264674,-40.33421097397736,0.015456247640395443
2_p3,2_p3.jpg,2_p3.jpg,6.3949136790591865,-35.47617725844689,0.2671758685427584
2_p4,2_p4.jpg,2_p4.jpg,5.036113937414437,-29.57930015872521,0.04474072428583659
3_p1,3_p1.jpg,3_p1.jpg,6.3510011332185465,-38.213021592145374,0.00929474790922362
3_p2,3_p2.jpg,3_p2.jpg,9.519676127300933,-35.22404857133878,0.005513394288815952
3_p3,3_p3.jpg,3_p3.jpg,7.109988534683044,-32.420247452287626,0.08611055333386312
3_p4,3_p4.jpg,3_p4.jpg,2.4046741096659376,-36.03808971645421,0.07960893569512535
4_p1,4_p1.jpg,4_p1.jpg,8.438465597868813,-34.299150303236026,0.02347940468982457
4_p2,4_p2.jpg,4_p2.jpg,5.090996574028848,-37.692818423018714,0.020920782488127714
4_p3,4_p3.jpg,4_p3.jpg,8.221128067220487,-31.711355413230592,0.08221694742179153
4_p4,4_p4.jpg,4_p4.jpg,11.016552162598778,-31.53970078466329,0.28278750265632796
5_p1,5_p1.jpg,5_p1.jpg,6.694889650816187,-35.99431979817107,0.0023522440401113763
5_p2,5_p2.jpg,5_p2.jpg,5.061247965785762,-37.66107067251898,0.0014132871946396387
5_p3,5_p3.jpg,5_p3.jpg,2.268079269794776,-38.46484520075879,0.026151628428650143
5_p4,5_p4.jpg,5_p4.jpg,4.579530567398854,-34.224271080955795,0.05740268591303588
6_p1,6_p1.jpg,6_p1.jpg,5.67711540215917,-36.556183037744965,0.049114656748582876
