filename,input_file,label_file,SNR,PSNR,SSIM
1_p1,1_p1.jpg,1_p1.jpg,14.600403595662657,-28.418498016838743,0.00733922263913999
1_p2,1_p2.jpg,1_p2.jpg,17.06108642929798,-28.536544219626855,0.029178697998734977
1_p3,1_p3.jpg,1_p3.jpg,8.079394030239833,-34.920782655053834,0.050576197408919644
1_p4,1_p4.jpg,1_p4.jpg,9.051486733502754,-35.004384127848816,0.11728701548741555
2_p1,2_p1.jpg,2_p1.jpg,18.54803306971701,-25.903667552904366,0.0752897423846501
2_p2,2_p2.jpg,2_p2.jpg,12.948400832572602,-31.073541119608905,0.015420635290688647
2_p3,2_p3.jpg,2_p3.jpg,9.662789193696169,-33.68230434214626,0.25252995301540776
2_p4,2_p4.jpg,2_p4.jpg,4.208539911050225,-36.4932054239319,0.03367222870510186
3_p1,3_p1.jpg,3_p1.jpg,22.286518436887075,-22.208612762090006,0.016297574044756628
3_p2,3_p2.jpg,3_p2.jpg,22.147622720953976,-22.990631491137886,0.008614566684491823
3_p3,3_p3.jpg,3_p3.jpg,7.378344656314928,-35.874235839741665,0.08193450454029322
3_p4,3_p4.jpg,3_p4.jpg,8.387696635903483,-31.689569526107427,0.13008805225259726
4_p1,4_p1.jpg,4_p1.jpg,11.391510359410375,-32.92266098496083,0.01380475318776215
4_p2,4_p2.jpg,4_p2.jpg,12.548169704601435,-30.99664577766847,0.013663740123673876
4_p3,4_p3.jpg,4_p3.jpg,7.0419856511952865,-36.43360920178696,0.03288075137663283
4_p4,4_p4.jpg,4_p4.jpg,10.506208367748348,-34.07742698676795,0.2536973936404759
5_p1,5_p1.jpg,5_p1.jpg,14.556104959812174,-29.546596962799793,0.0026325574110373623
5_p2,5_p2.jpg,5_p2.jpg,15.017459722351687,-28.670751720066164,-6.976450040159916e-05
5_p3,5_p3.jpg,5_p3.jpg,8.92202286584449,-31.938531093016422,0.04817372338307707
5_p4,5_p4.jpg,5_p4.jpg,6.638189632401509,-35.3155149995882,0.03935211148622031
6_p1,6_p1.jpg,6_p1.jpg,12.548576698125418,-31.082041494022327,0.051503545094544745
6_p2,6_p2.jpg,6_p2.jpg,9.55465587750436,-33.89436482433971,0.16383321571463202
6_p3,6_p3.jpg,6_p3.jpg,9.16248782370353,-35.01838583706211,0.07760206732556739
6_p4,6_p4.jpg,6_p4.jpg,6.935442845087987,-34.16623421813951,0.052756619557528805
7_p1,7_p1.jpg,7_p1.jpg,13.534504876430812,-29.621617130080658,0.0466519785200428
7_p2,7_p2.jpg,7_p2.jpg,13.859361163836155,-30.114801735218222,0.11562520419333715
7_p3,7_p3.jpg,7_p3.jpg,10.464073582430773,-33.62511052422346,0.037470867695334455
7_p4,7_p4.jpg,7_p4.jpg,9.988068488077268,-33.75387502736462,0.12944655379318867
8_p1,8_p1.jpg,8_p1.jpg,20.88803171723309,-24.38879561378849,0.053746288363091
8_p2,8_p2.jpg,8_p2.jpg,9.986840115852322,-33.45802457697011,0.009402827674748855
8_p3,8_p3.jpg,8_p3.jpg,3.6371696828794424,-38.335014245411,0.0312510937583716
8_p4,8_p4.jpg,8_p4.jpg,7.805708732064471,-33.61085257264419,0.1256865887730121
9_p1,9_p1.jpg,9_p1.jpg,16.432315428133602,-29.21125929464736,0.008650979622280267
9_p2,9_p2.jpg,9_p2.jpg,20.201639677278127,-25.3947471626362,0.0322078764022938
9_p3,9_p3.jpg,9_p3.jpg,6.604654968443331,-36.59205055305665,0.05540472126524398
9_p4,9_p4.jpg,9_p4.jpg,6.705207626738243,-32.87611196578674,0.014643622198615133
10_p1,10_p1.jpg,10_p1.jpg,15.943764333459372,-29.514450479129586,0.007532578074340578
10_p2,10_p2.jpg,10_p2.jpg,11.167413314464303,-32.70934206301006,0.004868543891915048
10_p3,10_p3.jpg,10_p3.jpg,5.361363871565231,-37.80544146153231,0.03040090088988386
10_p4,10_p4.jpg,10_p4.jpg,5.817643758142809,-35.7223908237865,0.040886131737215135
11_p1,11_p1.jpg,11_p1.jpg,19.10332572394256,-26.072174520423328,0.03887150916521318
11_p2,11_p2.jpg,11_p2.jpg,6.685700480421236,-35.906156569811635,0.0090167650916705
11_p3,11_p3.jpg,11_p3.jpg,11.344722589313216,-30.019461639149426,0.1127271949103524
11_p4,11_p4.jpg,11_p4.jpg,5.046880895823449,-37.760366402710616,0.07587575650087441
12_p1,12_p1.jpg,12_p1.jpg,14.955820809465623,-28.82306413294082,0.010764638554526236
12_p2,12_p2.jpg,12_p2.jpg,14.20803308953033,-30.15936101960634,0.014538977732325204
12_p3,12_p3.jpg,12_p3.jpg,10.433051734055013,-31.69477984289245,0.05360769610462784
12_p4,12_p4.jpg,12_p4.jpg,10.83182409025177,-31.81102698964551,0.0659408323023346
13_p1,13_p1.jpg,13_p1.jpg,12.10056352959392,-32.5264248066371,0.03234748795946115
13_p2,13_p2.jpg,13_p2.jpg,9.64608799622741,-32.542223909927344,0.018037872023829955
13_p3,13_p3.jpg,13_p3.jpg,7.870860358473653,-34.59923177558725,0.06357463882501393
13_p4,13_p4.jpg,13_p4.jpg,8.569328450687703,-32.781687588228266,0.028014950804165994
14_p1,14_p1.jpg,14_p1.jpg,12.59901619780628,-32.715306834471015,0.055598248026384994
14_p2,14_p2.jpg,14_p2.jpg,21.592983061680727,-23.433418517755026,0.007845729120427216
14_p3,14_p3.jpg,14_p3.jpg,9.528550070803398,-31.934495075574535,0.14747267764271652
14_p4,14_p4.jpg,14_p4.jpg,10.250846924074095,-31.55787808062891,0.09106057622351456
15_p1,15_p1.jpg,15_p1.jpg,22.184910768495367,-21.52933576364876,0.0372888611532762
15_p2,15_p2.jpg,15_p2.jpg,14.23555819928688,-30.78734969947127,0.01240751191342169
15_p3,15_p3.jpg,15_p3.jpg,5.748001470404759,-34.184955455831286,0.010429040977307407
15_p4,15_p4.jpg,15_p4.jpg,7.060127567392442,-35.418132294924185,0.048164785565754174
16_p1,16_p1.jpg,16_p1.jpg,13.449277983680865,-28.899508271060284,0.008099538978239002
16_p2,16_p2.jpg,16_p2.jpg,11.132322226205048,-29.994826420879367,0.006643093435542361
16_p3,16_p3.jpg,16_p3.jpg,7.116531104220404,-34.32217590194428,0.049869593526756996
16_p4,16_p4.jpg,16_p4.jpg,6.877937785268301,-34.27124910695722,0.04722409229634487
17_p1,17_p1.jpg,17_p1.jpg,22.92963117505428,-22.681974143139353,0.036788193141615765
